lon,lat,owner,watershed,type,form
-92.03453715,30.22859603,CITY-ROW,SPRINGFIELD NORTH,GRATE INLET,
-92.03444698,30.22804847,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03441953,30.23401463,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.0343801,30.23314803,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03433304,30.22274408,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03429085,30.23316044,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03428792,30.23256993,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03427913,30.23288206,CITY-ROW,WINDSOR,CURB INLET,
-92.03427706,30.23169525,CITY-ROW,WINDSOR,CURB INLET,
-92.03427376,30.22811908,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03420064,30.23173325,CITY-ROW,WINDSOR,CURB INLET,
-92.03414793,30.23142349,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03411143,30.22747261,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03411126,30.23136831,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03406411,30.22739885,CITY-ROW,PLACENTIA,CURB INLET,
-92.03401467,30.23358214,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03401185,30.22321394,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03398854,30.22735223,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03394741,30.22948453,CITY-ROW,ST. AUGUSTINE CREEK,CURB INLET,
-92.03392172,30.23584462,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03390409,30.22293763,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03388876,30.23576984,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.0338724,30.22761447,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.0338664,30.23108807,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03383293,30.22298157,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03381798,30.22752797,CITY-ROW,HARMON,CURB INLET,
-92.03381381,30.23111448,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03378792,30.22955412,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03374021,30.224108,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03371888,30.22911023,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03368406,30.22904358,CITY-ROW,CASEY NORTH,CURB INLET,
-92.0336663,30.22415195,CITY-ROW,CASEY SOUTH,GRATE INLET,
-92.03364687,30.22333522,CITY-ROW,PLACENTIA,CURB INLET,
-92.03356437,30.22323147,CITY-ROW,WINDSOR,CURB INLET,
-92.033539,30.23256865,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03346894,30.22913781,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03344894,30.23256435,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03343415,30.23280611,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03340286,30.23584623,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03333878,30.22860861,CITY-ROW,PLACENTIA,CURB INLET,
-92.0333347,30.22360297,CITY-ROW,WINDSOR,CURB INLET,
-92.03329559,30.22633728,CITY-ROW,WINDSOR,CURB INLET,
-92.03326355,30.22364691,CITY-ROW,WINDSOR,CURB INLET,
-92.03312412,30.22653601,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03310933,30.22341023,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03308858,30.2299426,CITY-ROW,WINDSOR,CURB INLET,
-92.03307913,30.22646965,CITY-ROW,CASEY SOUTH,GRATE INLET,
-92.03306539,30.22604065,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03300502,30.22998124,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03298213,30.22804931,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03296845,30.22609272,CITY-ROW,PLACENTIA,CURB INLET,
-92.03294097,30.22798222,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03292956,30.223779,CITY-ROW,COFFEE BLUFF,CURB INLET,
-92.03284419,30.22367826,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03284109,30.22953694,CITY-ROW,CASEY SOUTH,GRATE INLET,
-92.0328407,30.23401495,CITY-ROW,WINDSOR,CURB INLET,
-92.03276041,30.23397241,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03275469,30.22816236,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03275123,30.2227414,CITY-ROW,BILBO BASIN,CURB INLET,
-92.0327296,30.22811141,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03272072,30.22961874,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03271444,30.22268861,CITY-ROW,WINDSOR,CURB INLET,
-92.03267618,30.22953901,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03265851,30.23414051,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03263756,30.22268054,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03262792,30.23594065,CITY-ROW,PLACENTIA,CURB INLET,
-92.0326256,30.23584566,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03262132,30.22409128,CITY-ROW,CASEY NORTH,CURB INLET,
-92.03255409,30.2227317,CITY-ROW,CASEY SOUTH,CURB INLET,
-92.03254666,30.22412569,CITY-ROW,COFFEE BLUFF,CURB INLET,
