lon,lat,owner,watershed,type,form
-92.01230619,30.2228048,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04877301,30.20321343,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.02782408,30.17607275,CITY-ROW,BILBO BASIN,CURB INLET,
-92.0313075,30.1942846,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.00247006,30.233883,CITY-ROW,BILBO BASIN,CURB INLET,
-92.01895806,30.22750176,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03193478,30.19462543,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.01334157,30.18987469,CITY-ROW,BILBO BASIN,CURB INLET,
-92.07490753,30.20827805,CITY-ROW,BILBO BASIN,CURB INLET,
-92.07423837,30.20828181,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.0004406,30.2457104,CITY-ROW,BILBO BASIN,CURB INLET,
-92.00135032,30.23922658,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03265095,30.19520726,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.00050019,30.24505503,CITY-ROW,BILBO BASIN,CURB INLET,
-92.00059624,30.24410189,CITY-ROW,BILBO BASIN,CURB INLET,
-92.00076705,30.24290374,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.04290001,30.28628535,CITY-ROW,BILBO BASIN,CURB INLET,
-92.0112546,30.19193382,CITY-ROW,BILBO BASIN,CURB INLET,
-92.02792929,30.24983724,CITY-ROW,BILBO BASIN,CURB INLET,
-92.02793422,30.24988132,CITY-ROW,BILBO BASIN,CURB INLET,
-92.02811146,30.24799569,CITY-ROW,BILBO BASIN,CURB INLET,
-92.00048684,30.2426889,CITY-ROW,BILBO BASIN,CURB INLET,
-92.00104372,30.24209995,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03930372,30.17158595,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03715664,30.1712297,CITY-ROW,SPRINGFIELD NORTH,CURB INLET,
-92.03819581,30.17067539,CITY-ROW,BILBO BASIN,CURB INLET,
-92.03953686,30.17093848,CITY-ROW,BILBO BASIN,CURB INLET,
-91.99921546,30.20899271,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04975637,30.14161426,CITY-ROW,BILBO BASIN,CURB INLET,
-92.04727649,30.14047422,CITY-ROW,BILBO BASIN,CURB INLET,
-92.01115675,30.17855179,CITY-ROW,BILBO BASIN,CURB INLET,
-92.02761281,30.27014498,CITY-ROW,BILBO BASIN,CURB INLET,
-92.09776872,30.16464718,CITY-ROW,BILBO BASIN,CURB INLET,
-92.02768907,30.27091252,CITY-ROW,BILBO BASIN,CURB INLET,
-91.99984678,30.16987694,CITY-ROW,BILBO BASIN,CURB INLET,
